Run	LibrarySource	SampleName	Day	Replicate	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection		LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR829034	VIRAL RNA	BLS020820_d05-1	184	1	2979802596	14751498	202	2000		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR829034/SRR829034.4	SRX266876		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS413841	SAMN02044692	simple	408170	human gut metagenome					male		no					UPENNBL	SRA073215		public	DDFB1D9EDB5B710B246E0E36C0F51CD8	2BD03C1425DE9926157F27D6D79B3A3B
SRR935364	VIRAL RNA	BLS020821_d11-1	851	1	3681383542	18224671	202	2749		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935364/SRR935364.3	SRX322944		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415867	SAMN02044693	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	C3E9C015F3C3C815F78B38CE681924F1	35AD4F62422F768402E61F806B83E87B
SRR935366	VIRAL RNA	BLS020822_d11-2	851	2	4117997654	20386127	202	3072		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935366/SRR935366.3	SRX322945		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415868	SAMN02044694	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	C941DEF6F2A864CFEAD361FF730CA7EC	C0C5C6DDA6A03B955C600F0A3AFBF686
SRR935367	VIRAL RNA	BLS020823_d12-1	852	1	4142121908	20505554	202	3092		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935367/SRR935367.3	SRX322946		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415869	SAMN02044695	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	A3821F3031FABE3EB645D7FEAC9A75B0	D8793537E4EF61ACE9DC6497237AB673
SRR935361	VIRAL RNA	BLS026407_d12-2	852	2	4285725324	21216462	202	3179		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR935361/SRR935361.4	SRX322979		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415870	SAMN02044696	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	BBF35AB23E1FD94B35DC78ADE1CF5CFE	882117959B642BB03C89D8186E1563EF
SRR935348	VIRAL RNA	BLS020824_d13-1	853	1	2717001404	13450502	202	2071		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935348/SRR935348.3	SRX322980		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415871	SAMN02044697	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	3C2D60D1FCFCE5CC8D3CB16D6A80416E	00C66696B78876FDC4955ECA9EF39A8C
SRR935349	VIRAL RNA	BLS020825_d13-2	853	2	3996836438	19786319	202	3046		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935349/SRR935349.3	SRX322981		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415872	SAMN02044698	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	70314A428DDBCC993C9199CD1E6E369E	0459C98D3B7A25569A632073F30BD448
SRR935350	VIRAL RNA	BLS020826_d14-1	854	1	4605744430	22800715	202	3497		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935350/SRR935350.3	SRX322982		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415873	SAMN02044699	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	2D4613770F75F9165A54E9F1AA2407DB	AC17CBB5E855917C42C241623F99F757
SRR935351	VIRAL RNA	BLS020827_d15-1	855	1	3591010964	17777282	202	2753		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935351/SRR935351.3	SRX322983		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415874	SAMN02044700	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	88F8C6EE868EEE34F2F9BCBC4EF861FC	E8268AA85000F3BFC00186A988018847
SRR935352	VIRAL RNA	BLS020828_d21-1	879	1	2787336592	13798696	202	2129		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR935352/SRR935352.3	SRX322984		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415875	SAMN02044701	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	6F246A2EFCC9CEEE2396BDC6F4771D39	78194F06640C1909574A91AA46EF79D8
SRR935354	VIRAL RNA	BLS020829_d21-2	879	2	2745304230	13590615	202	2092		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935354/SRR935354.3	SRX322985		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415876	SAMN02044702	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	3207DFB66D812921F647904B8844200E	DAB937C94D84A99ED6420DD9C603348E
SRR935356	VIRAL RNA	BLS020830_d22-1	880	1	3493423956	17294178	202	2673		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935356/SRR935356.3	SRX323008		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415877	SAMN02044703	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	4288FD2C37BBC97BBACD82D122641973	54EF34C220BE0462E99B972DD8F862BA
SRR935363	VIRAL RNA	BLS020831_d22-2	880	2	3215929284	15920442	202	2441		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935363/SRR935363.3	SRX323009		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415878	SAMN02044704	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	C212502509E9A250F349657C9FE75003	311A9E8CC58DF338E366F8F2CE1B0C04
SRR935357	VIRAL RNA	BLS020832_d23-1	881	1	4604072678	22792439	202	3516		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935357/SRR935357.3	SRX323011		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415879	SAMN02044705	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	BDBAD72EB0309D7F7BF413042A24045F	DC4351A47E8BA190F0400BBC1AEAD0FE
SRR935358	VIRAL RNA	BLS020833_d23-2	881	2	5258500360	26032180	202	3973		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935358/SRR935358.3	SRX323013		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415880	SAMN02044706	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	A8E8542429F4D6D9D75219054270B0A7	84CA9AB71131F293AE6B4115CF0C1578
SRR935359	VIRAL RNA	BLS020834_d24-1	882	1	4475455440	22155720	202	3398		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935359/SRR935359.3	SRX323014		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415881	SAMN02044707	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	2956D0EF9C392D44E1259205B94684B9	32331A7D34329AFD7886105176FE2E69
SRR935360	VIRAL RNA	BLS020835_d25-1	883	1	5934508914	29378757	202	4495		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR935360/SRR935360.3	SRX323015		WGS	RANDOM PCR		PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP021107	PRJNA196801		196801	SRS415882	SAMN02044708	simple	408170	human gut metagenome							no					UPENNBL	SRA073215		public	09508A278292880EBBF7443D41CAD49A	9AFDCF8F37E79600521C1AE0EAD201B9
