Sequence_ID	Order	Percent_of_votes	Family	Percent_of_votes
NODE_102_length_21849_cov_10.345003	Caudovirales	100	Myoviridae	50
NODE_102_length_22820_cov_4.048935	Caudovirales	100	Siphoviridae	63.63636364
NODE_102_length_2598_cov_1.706252	Caudovirales	100	Siphoviridae	100
NODE_102_length_7809_cov_2.107557	Caudovirales	100	Myoviridae	50
NODE_103_length_13690_cov_3.746901	Caudovirales	100	Siphoviridae	81.81818182
NODE_103_length_14378_cov_2.821476	Caudovirales	100	Siphoviridae	88.88888889
NODE_103_length_15861_cov_5.174997	Caudovirales	50	Podoviridae	71.42857143
NODE_103_length_17751_cov_4.529329	Caudovirales	50	Siphoviridae	62.5
NODE_103_length_22548_cov_3.955764	Caudovirales	100	Siphoviridae	75
NODE_103_length_25437_cov_4.427586	Caudovirales	100	Siphoviridae	57.14285714
NODE_103_length_5196_cov_2.750632	Caudovirales	100	Siphoviridae	100
NODE_103_length_7691_cov_2.068360	Caudovirales	50	Unassigned	NA
NODE_104_length_10911_cov_2.932203	Caudovirales	100	Siphoviridae	100
NODE_104_length_13638_cov_5.119340	Caudovirales	100	Siphoviridae	50
NODE_104_length_17508_cov_12.770297	Caudovirales	100	Siphoviridae	85.71428571
NODE_104_length_22118_cov_21.636405	Caudovirales	100	Siphoviridae	70.58823529
NODE_104_length_24577_cov_4.429940	Caudovirales	40	Siphoviridae	50
NODE_104_length_4317_cov_2.922337	Caudovirales	100	Siphoviridae	100
NODE_104_length_5395_cov_2.341948	Caudovirales	100	Myoviridae	50
NODE_104_length_5514_cov_1878.878732	no_order_Microviridae	100	Microviridae	100
NODE_104_length_6933_cov_2.330910	Caudovirales	100	Siphoviridae	100
NODE_104_length_7616_cov_1.970507	Caudovirales	100	Siphoviridae	60
NODE_105_length_13432_cov_2.886073	Caudovirales	100	Siphoviridae	75
NODE_105_length_14061_cov_2.791732	Caudovirales	100	Siphoviridae	60
NODE_105_length_15691_cov_5.818240	Caudovirales	100	Siphoviridae	66.66666667
NODE_105_length_17503_cov_7.145002	Caudovirales	100	Siphoviridae	100
NODE_105_length_21796_cov_8.197737	Caudovirales	100	Siphoviridae	60
NODE_105_length_5398_cov_2.374696	Caudovirales	100	Unassigned	NA
NODE_106_length_10054_cov_9.225323	Caudovirales	100	Unassigned	NA
NODE_106_length_11416_cov_5.030543	Caudovirales	100	Unassigned	NA
NODE_106_length_17449_cov_9.875014	Caudovirales	100	Siphoviridae	69.23076923
NODE_106_length_5471_cov_2.655835	Caudovirales	100	Siphoviridae	66.66666667
NODE_106_length_7280_cov_21.557232	Caudovirales	100	Siphoviridae	100
NODE_107_length_10546_cov_4.418454	Caudovirales	100	Siphoviridae	75
NODE_107_length_10635_cov_3.156144	Caudovirales	100	Unassigned	NA
NODE_107_length_12253_cov_2.721512	Caudovirales	100	Siphoviridae	66.66666667
NODE_107_length_20703_cov_32.120399	Caudovirales	100	Siphoviridae	66.66666667
NODE_107_length_21589_cov_23.460481	Caudovirales	50	Myoviridae	48.48484848
NODE_107_length_2622_cov_1.791586	Caudovirales	100	Podoviridae	100
NODE_107_length_4249_cov_1.802098	Caudovirales	100	Siphoviridae	100
NODE_107_length_5337_cov_4.089928	Caudovirales	100	Siphoviridae	66.66666667
NODE_107_length_5449_cov_2.311828	Caudovirales	100	Siphoviridae	83.33333333
NODE_107_length_5615_cov_2.099460	Caudovirales	100	Unassigned	NA
NODE_107_length_7194_cov_7.915815	Caudovirales	100	Unassigned	NA
NODE_108_length_10597_cov_2.433504	Caudovirales	100	Myoviridae	100
NODE_108_length_12107_cov_3.249751	Caudovirales	100	Myoviridae	50
NODE_108_length_13130_cov_6.014761	Caudovirales	50	Siphoviridae	66.66666667
NODE_108_length_17291_cov_3.640868	Caudovirales	100	Siphoviridae	83.33333333
NODE_108_length_20681_cov_5.555464	Caudovirales	100	Unassigned	NA
NODE_108_length_21425_cov_3.460693	Caudovirales	100	Siphoviridae	53.33333333
NODE_108_length_23104_cov_5.619767	Caudovirales	100	Siphoviridae	63.63636364
NODE_108_length_5614_cov_2.067278	Caudovirales	100	Siphoviridae	66.66666667
NODE_108_length_6570_cov_2.281965	Caudovirales	100	Unassigned	NA
NODE_108_length_9730_cov_3.047649	Caudovirales	100	Siphoviridae	83.33333333
NODE_109_length_10538_cov_3.499380	Caudovirales	100	Siphoviridae	75
NODE_109_length_11088_cov_3.697000	Caudovirales	100	Unassigned	NA
NODE_109_length_12950_cov_2.861109	Caudovirales	100	Myoviridae	50
NODE_109_length_15220_cov_3.678272	Caudovirales	100	Siphoviridae	100
NODE_109_length_17166_cov_3.586815	Caudovirales	100	Siphoviridae	80
NODE_109_length_20627_cov_3.994993	Caudovirales	100	Siphoviridae	66.66666667
NODE_109_length_5237_cov_2.023157	Caudovirales	100	Unassigned	NA
NODE_109_length_5407_cov_11252.763079	no_order_Microviridae	100	Microviridae	100
NODE_109_length_5596_cov_3.012092	Caudovirales	100	Siphoviridae	100
NODE_109_length_6469_cov_258.754599	no_order_Microviridae	100	Microviridae	100
NODE_109_length_7032_cov_2.683818	Caudovirales	50	Unassigned	NA
NODE_11_length_26673_cov_11.045683	Caudovirales	100	Siphoviridae	70
NODE_11_length_37351_cov_3.546841	Caudovirales	100	Siphoviridae	58.82352941
NODE_11_length_38676_cov_4.256959	Caudovirales	50	Siphoviridae	71.42857143
NODE_11_length_41469_cov_25.463877	Caudovirales	100	Siphoviridae	63.15789474
NODE_11_length_50106_cov_8.639548	Caudovirales	100	Siphoviridae	76.47058824
NODE_11_length_50594_cov_377.385821	Caudovirales	100	Myoviridae	48.57142857
NODE_11_length_55539_cov_10.359851	Caudovirales	100	Siphoviridae	66.66666667
NODE_11_length_72839_cov_23.773563	Caudovirales	100	Siphoviridae	85.71428571
NODE_11_length_82624_cov_5.458404	Caudovirales	48.27586207	Siphoviridae	52.94117647
NODE_11_length_90295_cov_118.359719	Caudovirales	50	Podoviridae	41.66666667
NODE_110_length_10364_cov_3.941701	Caudovirales	100	Unassigned	NA
NODE_110_length_11940_cov_4.142701	Caudovirales	50	Siphoviridae	60
NODE_110_length_13141_cov_3.670946	Caudovirales	100	Siphoviridae	100
NODE_110_length_20092_cov_5.283376	no_order_Mimiviridae	37.5	Mimiviridae	37.5
NODE_110_length_20201_cov_5.707634	Caudovirales	100	Siphoviridae	100
NODE_110_length_22758_cov_8.333524	Caudovirales	100	Siphoviridae	87.5
NODE_110_length_4154_cov_2.539156	Caudovirales	100	Myoviridae	100
NODE_110_length_5195_cov_2.656031	Caudovirales	100	Unassigned	NA
NODE_110_length_6904_cov_2.271572	Caudovirales	100	Siphoviridae	75
NODE_110_length_9508_cov_3.124828	Caudovirales	50	Unassigned	NA
NODE_111_length_10243_cov_4.772674	no_order_Phycodnaviridae	100	Phycodnaviridae	100
NODE_111_length_10788_cov_2.291251	Caudovirales	100	Siphoviridae	66.66666667
NODE_111_length_13086_cov_3.055176	Caudovirales	100	Myoviridae	47.36842105
NODE_111_length_14901_cov_8.472450	Caudovirales	100	Myoviridae	50
NODE_111_length_19329_cov_3.637335	Caudovirales	50	Unassigned	NA
NODE_111_length_20146_cov_3.482903	Caudovirales	100	Siphoviridae	66.66666667
NODE_111_length_22649_cov_2.802779	Caudovirales	100	Unassigned	NA
NODE_112_length_10204_cov_2.772785	Caudovirales	100	Siphoviridae	75
NODE_112_length_10775_cov_4.064925	Caudovirales	50	Siphoviridae	66.66666667
NODE_112_length_12769_cov_2.332704	Caudovirales	100	Myoviridae	50
NODE_112_length_19978_cov_6.360789	Caudovirales	100	Siphoviridae	66.66666667
NODE_112_length_22625_cov_5.882410	Caudovirales	100	Siphoviridae	87.5
NODE_112_length_4859_cov_2.343880	Caudovirales	100	Unassigned	NA
NODE_112_length_5334_cov_2.826482	Caudovirales	100	Podoviridae	100
NODE_112_length_6379_cov_2.679317	Caudovirales	100	Siphoviridae	100
NODE_112_length_9333_cov_2.642703	Caudovirales	100	Siphoviridae	100
NODE_113_length_10629_cov_2.943730	Caudovirales	50	Siphoviridae	50
NODE_113_length_12423_cov_3.508005	Caudovirales	100	Siphoviridae	90.90909091
NODE_113_length_12763_cov_3.351196	Caudovirales	100	Podoviridae	100
NODE_113_length_14665_cov_6.255373	Caudovirales	100	Unassigned	100
NODE_113_length_19145_cov_4.917234	Caudovirales	100	Unassigned	NA
NODE_113_length_19646_cov_4.629269	Caudovirales	50	Siphoviridae	40
NODE_113_length_22448_cov_4.708168	Caudovirales	100	Siphoviridae	75
NODE_113_length_4970_cov_2.928586	Caudovirales	100	Siphoviridae	66.66666667
NODE_113_length_5514_cov_54.894486	no_order_Microviridae	100	Microviridae	100
NODE_113_length_6326_cov_2.198214	Caudovirales	100	Siphoviridae	100
NODE_113_length_6822_cov_2.937934	Caudovirales	100	Siphoviridae	100
NODE_113_length_9325_cov_2.646278	Caudovirales	100	Siphoviridae	100
NODE_114_length_11236_cov_3.041588	Caudovirales	100	Siphoviridae	100
NODE_114_length_12358_cov_3.229700	Caudovirales	100	Myoviridae	100
NODE_114_length_14525_cov_3.642502	Caudovirales	100	Siphoviridae	81.25
NODE_114_length_16302_cov_4.537576	Caudovirales	100	Myoviridae	50
NODE_114_length_19055_cov_3.481737	Caudovirales	100	Siphoviridae	88.88888889
NODE_114_length_22362_cov_39.010266	Caudovirales	100	Myoviridae	42.85714286
NODE_114_length_4962_cov_2.470756	Caudovirales	100	Myoviridae	100
NODE_114_length_5318_cov_2.400722	Caudovirales	100	Siphoviridae	100
NODE_114_length_6765_cov_2.666766	Caudovirales	100	Myoviridae	50
NODE_114_length_9751_cov_3.308478	Caudovirales	50	Siphoviridae	50
NODE_115_length_10539_cov_20.171690	Caudovirales	100	Siphoviridae	75
NODE_115_length_12105_cov_3.841909	Caudovirales	100	Siphoviridae	100
NODE_115_length_16210_cov_3.930857	Caudovirales	100	Siphoviridae	71.42857143
NODE_115_length_19022_cov_3.271524	Caudovirales	100	Myoviridae	50
NODE_115_length_21924_cov_3.627738	Caudovirales	50	Siphoviridae	50
NODE_115_length_4240_cov_2.844205	Caudovirales	100	Unassigned	NA
NODE_115_length_4687_cov_2.226900	Caudovirales	100	Siphoviridae	60
NODE_115_length_5009_cov_2.267461	Caudovirales	100	Siphoviridae	100
NODE_115_length_5301_cov_2.878193	Caudovirales	50	Siphoviridae	50
NODE_115_length_6687_cov_2.126055	Caudovirales	100	Unassigned	NA
NODE_115_length_9197_cov_2.547254	Caudovirales	100	Siphoviridae	100
NODE_116_length_10054_cov_32.282628	Caudovirales	100	Unassigned	NA
NODE_116_length_10474_cov_3.761781	Caudovirales	100	Siphoviridae	100
NODE_116_length_11111_cov_3.418325	Caudovirales	100	Siphoviridae	60
NODE_116_length_14183_cov_3.018899	Caudovirales	100	Siphoviridae	90.90909091
NODE_116_length_19018_cov_3.852344	Caudovirales	100	Podoviridae	35.71428571
NODE_116_length_4200_cov_3.946441	Caudovirales	100	Siphoviridae	100
NODE_116_length_4881_cov_3.128885	Caudovirales	100	Unassigned	NA
NODE_116_length_4935_cov_2.752254	Caudovirales	100	Myoviridae	100
NODE_116_length_6220_cov_2.125061	Caudovirales	100	Siphoviridae	100
NODE_116_length_9159_cov_2.947935	Caudovirales	100	Unassigned	NA
NODE_116_length_9178_cov_3.524608	Caudovirales	100	Siphoviridae	75
NODE_117_length_10369_cov_3.380454	Caudovirales	50	Podoviridae	50
NODE_117_length_11734_cov_4.142820	Caudovirales	100	Unassigned	NA
NODE_117_length_13962_cov_3.167110	Caudovirales	100	Siphoviridae	100
NODE_117_length_16012_cov_10.104844	Caudovirales	100	Siphoviridae	50
NODE_117_length_18920_cov_4.309462	no_order_Phycodnaviridae	50	Phycodnaviridae	40
NODE_117_length_18994_cov_6.001267	Caudovirales	100	Siphoviridae	80
NODE_117_length_21616_cov_5.140114	Caudovirales	50	Siphoviridae	40
NODE_117_length_3873_cov_2.007858	Caudovirales	100	Siphoviridae	100
NODE_117_length_4878_cov_3.848435	Caudovirales	100	Siphoviridae	100
NODE_117_length_5419_cov_1.959918	Caudovirales	100	Unassigned	100
NODE_117_length_6638_cov_2.757405	Caudovirales	100	Siphoviridae	100
NODE_117_length_9109_cov_2.656395	Caudovirales	100	Siphoviridae	66.66666667
NODE_118_length_10234_cov_2.980155	Caudovirales	50	Siphoviridae	83.33333333
NODE_118_length_11019_cov_2.510945	Caudovirales	100	Siphoviridae	75
NODE_118_length_11588_cov_2.642938	Caudovirales	100	Siphoviridae	100
NODE_118_length_11713_cov_4.451879	Caudovirales	50	Podoviridae	66.66666667
NODE_118_length_18867_cov_11.428556	Caudovirales	100	Unassigned	NA
NODE_118_length_18955_cov_3.719365	Caudovirales	50	Siphoviridae	66.66666667
NODE_118_length_21521_cov_9.549194	Caudovirales	100	Siphoviridae	100
NODE_118_length_4897_cov_3.561751	Caudovirales	100	Unassigned	NA
NODE_118_length_5153_cov_2.794037	Caudovirales	100	Siphoviridae	100
NODE_118_length_6566_cov_2.333129	Caudovirales	100	Siphoviridae	100
NODE_118_length_8986_cov_2.936065	Caudovirales	100	Siphoviridae	100
NODE_119_length_10189_cov_2.079337	Caudovirales	100	Siphoviridae	80
NODE_119_length_11580_cov_2.933449	Caudovirales	100	Siphoviridae	71.42857143
NODE_119_length_11678_cov_3.639422	Caudovirales	100	Siphoviridae	57.14285714
NODE_119_length_15878_cov_12.410542	Caudovirales	100	Unassigned	NA
NODE_119_length_18951_cov_5.567686	Caudovirales	100	Siphoviridae	60
NODE_119_length_21232_cov_24.778675	Caudovirales	100	Siphoviridae	75
NODE_119_length_4879_cov_3.430556	Caudovirales	100	Unassigned	NA
NODE_119_length_6126_cov_2.117279	Caudovirales	100	Unassigned	NA
NODE_119_length_6469_cov_423.735111	no_order_Microviridae	100	Microviridae	100
NODE_119_length_8705_cov_2.832254	Caudovirales	100	Siphoviridae	100
NODE_119_length_8739_cov_3.350299	Caudovirales	100	Unassigned	NA
NODE_119_length_9846_cov_2.863344	Caudovirales	100	Unassigned	NA
NODE_12_length_21518_cov_3.324046	Caudovirales	100	Myoviridae	50
NODE_12_length_23972_cov_3.868295	Caudovirales	100	Siphoviridae	83.33333333
NODE_12_length_24019_cov_3.049241	Caudovirales	100	Unassigned	NA
NODE_12_length_36623_cov_10.841993	Caudovirales	100	Siphoviridae	81.81818182
NODE_12_length_38621_cov_4.452264	Caudovirales	100	Siphoviridae	56.66666667
NODE_12_length_40031_cov_3.840454	Caudovirales	45	Myoviridae	38.46153846
NODE_12_length_54742_cov_5.935359	Caudovirales	100	Siphoviridae	96.77419355
NODE_12_length_65793_cov_5.225380	Caudovirales	50	Myoviridae	41.66666667
NODE_12_length_66032_cov_14.953969	Caudovirales	100	Myoviridae	35
NODE_12_length_90299_cov_8.811644	Caudovirales	100	Podoviridae	35
NODE_120_length_10060_cov_2.974113	Caudovirales	100	Siphoviridae	100
NODE_120_length_11543_cov_3.271065	Caudovirales	100	Siphoviridae	100
NODE_120_length_13461_cov_21.298523	Caudovirales	100	Podoviridae	50
NODE_120_length_15854_cov_2.942781	Caudovirales	100	Siphoviridae	75
NODE_120_length_18748_cov_4.275397	Caudovirales	100	Siphoviridae	71.42857143
NODE_120_length_18821_cov_5.689385	Caudovirales	100	Unassigned	NA
NODE_120_length_20547_cov_20.156207	Caudovirales	100	Siphoviridae	90.90909091
NODE_120_length_3715_cov_2.291530	Caudovirales	100	Unassigned	NA
NODE_120_length_4071_cov_3.009462	Caudovirales	100	Myoviridae	50
NODE_120_length_5084_cov_34199.553390	no_order_Microviridae	100	Microviridae	100
NODE_120_length_6087_cov_2.282328	Caudovirales	100	Unassigned	NA
NODE_120_length_6409_cov_2.580107	Caudovirales	100	Siphoviridae	100
NODE_120_length_8710_cov_3.004968	Caudovirales	100	Siphoviridae	100
NODE_120_length_9793_cov_4.817314	Caudovirales	100	Unassigned	NA
NODE_121_length_10872_cov_2.274106	Caudovirales	50	Myoviridae	40
NODE_121_length_11406_cov_4.606731	Caudovirales	100	Siphoviridae	75
NODE_121_length_11571_cov_2.753387	Caudovirales	50	Unassigned	NA
NODE_121_length_13432_cov_30.240114	Caudovirales	100	Myoviridae	50
NODE_121_length_20380_cov_4.566691	Caudovirales	100	Myoviridae	50
NODE_121_length_4726_cov_2.486405	Caudovirales	100	Siphoviridae	100
NODE_121_length_4830_cov_2.719581	Caudovirales	100	Siphoviridae	66.66666667
NODE_121_length_5069_cov_2.581173	Caudovirales	100	Siphoviridae	100
NODE_121_length_6074_cov_2.336767	Caudovirales	100	Siphoviridae	100
NODE_121_length_8653_cov_2.711793	Caudovirales	100	Unassigned	NA
NODE_121_length_9744_cov_16.020848	Caudovirales	100	Siphoviridae	57.14285714
NODE_122_length_10045_cov_3.673373	Caudovirales	100	Myoviridae	50
NODE_122_length_10744_cov_3.581065	Caudovirales	100	Siphoviridae	100
NODE_122_length_11002_cov_4.065589	Caudovirales	100	Siphoviridae	80
NODE_122_length_11526_cov_2.649115	Caudovirales	100	Siphoviridae	100
NODE_122_length_13105_cov_3.633333	Caudovirales	100	Siphoviridae	75
NODE_122_length_15633_cov_13.393247	Caudovirales	100	Myoviridae	50
NODE_122_length_18523_cov_15.849144	Caudovirales	100	Siphoviridae	80
NODE_122_length_18570_cov_4.617283	Caudovirales	100	Siphoviridae	73.33333333
NODE_122_length_20353_cov_4.754705	Caudovirales	100	Myoviridae	50
NODE_122_length_3649_cov_2.132721	Caudovirales	100	Siphoviridae	100
NODE_122_length_4626_cov_2.704660	Caudovirales	100	Siphoviridae	100
NODE_122_length_8596_cov_2.522538	Caudovirales	100	Podoviridae	100
NODE_123_length_10043_cov_3.421306	Caudovirales	100	Myoviridae	50
NODE_123_length_10588_cov_4.074718	Caudovirales	100	Unassigned	NA
NODE_123_length_10926_cov_2.680066	Caudovirales	100	Siphoviridae	100
NODE_123_length_15633_cov_3.445436	Caudovirales	100	Myoviridae	50
NODE_123_length_18373_cov_5.866907	Caudovirales	100	Myoviridae	50
NODE_123_length_18394_cov_6.355417	Caudovirales	100	Myoviridae	50
NODE_123_length_4474_cov_1.956325	Caudovirales	100	Unassigned	NA
NODE_123_length_4593_cov_2.486117	Caudovirales	100	Podoviridae	100
NODE_123_length_4608_cov_2.654514	Caudovirales	100	Siphoviridae	100
NODE_123_length_6058_cov_2.210895	Caudovirales	100	Myoviridae	50
NODE_123_length_6201_cov_4.790107	Caudovirales	100	Unassigned	NA
NODE_123_length_8353_cov_2.735719	Caudovirales	100	Siphoviridae	71.42857143
NODE_124_length_10348_cov_2.656563	Caudovirales	100	Siphoviridae	66.66666667
NODE_124_length_10548_cov_3.091966	Caudovirales	100	Myoviridae	100
NODE_124_length_10573_cov_2.487070	Caudovirales	100	Unassigned	NA
NODE_124_length_15536_cov_36.842258	Caudovirales	100	Unassigned	NA
NODE_124_length_18031_cov_3.995160	Caudovirales	100	Siphoviridae	66.66666667
NODE_124_length_3433_cov_1.849615	Caudovirales	100	Siphoviridae	100
NODE_124_length_4535_cov_7.373884	Caudovirales	100	Unassigned	NA
NODE_124_length_4570_cov_2.128904	Caudovirales	100	Siphoviridae	100
NODE_124_length_5037_cov_2.335809	Caudovirales	100	Siphoviridae	100
NODE_124_length_5277_cov_25.805247	no_order_Microviridae	100	Microviridae	100
NODE_124_length_6143_cov_1.745237	Caudovirales	100	Myoviridae	100
NODE_124_length_6195_cov_12.298046	Caudovirales	100	Siphoviridae	100
NODE_124_length_8340_cov_2.750272	Caudovirales	100	Unassigned	NA
NODE_124_length_9644_cov_4.380436	Caudovirales	100	Unassigned	NA
NODE_124_length_9823_cov_3.089578	Caudovirales	100	Siphoviridae	100
NODE_125_length_10304_cov_3.235925	Caudovirales	50	Podoviridae	66.66666667
NODE_125_length_10402_cov_2.731420	Caudovirales	100	Siphoviridae	75
NODE_125_length_17816_cov_3.637464	Caudovirales	100	Siphoviridae	57.14285714
NODE_125_length_18031_cov_4.974410	Caudovirales	100	Siphoviridae	66.66666667
NODE_125_length_19310_cov_5.051571	Caudovirales	100	Unassigned	NA
NODE_125_length_3415_cov_1.594048	Caudovirales	100	Siphoviridae	100
NODE_125_length_4420_cov_2.032761	Caudovirales	100	Unassigned	NA
NODE_125_length_4449_cov_1.985890	Caudovirales	100	Unassigned	NA
NODE_125_length_9621_cov_3.545787	Caudovirales	100	Siphoviridae	100
NODE_126_length_10209_cov_3.654126	Caudovirales	50	Myoviridae	44.44444444
NODE_126_length_10426_cov_4.411339	Caudovirales	100	Myoviridae	50
NODE_126_length_12318_cov_3.213406	Caudovirales	100	Siphoviridae	66.66666667
NODE_126_length_16921_cov_3.972133	Caudovirales	100	Siphoviridae	85.71428571
NODE_126_length_17988_cov_4.102827	Caudovirales	100	Siphoviridae	75
NODE_126_length_4860_cov_3067.483455	no_order_Microviridae	100	Microviridae	100
NODE_126_length_7813_cov_2.299691	Caudovirales	100	Siphoviridae	100
NODE_126_length_8321_cov_2.409025	Caudovirales	100	Unassigned	100
NODE_126_length_9603_cov_2.754294	Caudovirales	100	Myoviridae	100
NODE_127_length_10195_cov_3.134911	Caudovirales	50	Unassigned	NA
NODE_127_length_10367_cov_2.941137	Caudovirales	100	Siphoviridae	100
NODE_127_length_17877_cov_5.437717	Caudovirales	100	Siphoviridae	71.42857143
NODE_127_length_18465_cov_4.187833	Caudovirales	100	Myoviridae	50
NODE_127_length_4346_cov_2.014915	Caudovirales	100	Myoviridae	100
NODE_127_length_4824_cov_2.915286	Caudovirales	100	Siphoviridae	100
NODE_127_length_7806_cov_2.641466	Caudovirales	100	Unassigned	NA
NODE_127_length_8061_cov_2.547839	Caudovirales	100	Siphoviridae	66.66666667
NODE_127_length_9589_cov_3.876337	Caudovirales	100	Myoviridae	50
NODE_128_length_12096_cov_4.537746	Caudovirales	100	Siphoviridae	100
NODE_128_length_16792_cov_15.105096	Caudovirales	100	Siphoviridae	100
NODE_128_length_17852_cov_5.939372	Caudovirales	100	Siphoviridae	60
NODE_128_length_18382_cov_3.782616	Caudovirales	100	Siphoviridae	83.33333333
NODE_128_length_3872_cov_2.438040	Caudovirales	100	Siphoviridae	100
NODE_128_length_4230_cov_1.635210	Caudovirales	100	Siphoviridae	100
